PAYIN_ID|REFBILL_NO|TRANSFER_DATE|TRAN_DATE|BUS_DATE|SHIFT_DESCRIPTION|LAST_CLOSE_SHIFT_DT|FILEPATH|FILENAME|TYPE|PAYMENT_TYPE|AMOUNTREC|AMOUNT|AMOUNT_DIFF|REMARK|STATUS_SAP|STATUS|NO_SALE_STATUS|CREATEDATE|CREATEBY|UPDATEDATE|UPDATEBY
15||5/11/2557|5/11/2557|4/11/2557|||D:\6211\20141105\|report.pdf|3|1||362122.8000||||3||5/11/2557 14:05:42|1|5/11/2557 15:53:54|1
16|061120141|6/11/2557|6/11/2557|6/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 06/11/2557 00:01:32 - 06/11/2557 13:49:32|6/11/2557 13:49:32|D:\6211\20141106\|Payin1.jpg|1|1|172899.6000|172900.0000|0.4000||2|3|0|6/11/2557 13:57:56|1|6/11/2557 15:48:39|1
17|051120142|6/11/2557|6/11/2557|5/11/2557|POS เครื่องที่ 1 จากกะที่ 6 - 7 05/11/2557 13:55:13 - 05/11/2557 23:57:06,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141106\|Payin2.jpg|2|1|180836.9000|180837.0000|0.1000||2|3|0|6/11/2557 13:57:56|1|6/11/2557 15:48:41|1
18||6/11/2557|6/11/2557|5/11/2557|||D:\6211\20141106\|report.pdf|3|1||369668.9000||||3||6/11/2557 13:57:56|1|6/11/2557 15:48:34|1
19|071120141|7/11/2557|7/11/2557|7/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 07/11/2557 00:00:42 - 07/11/2557 13:51:01|7/11/2557 13:51:01|D:\6211\20141107\|Payin1.jpg|1|1|172878.8000|172879.0000|0.2000||2|3|0|7/11/2557 14:00:41|1|7/11/2557 15:22:55|1
20|061120142|7/11/2557|7/11/2557|6/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 06/11/2557 13:50:47 - 06/11/2557 23:55:51,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141107\|Payin2.jpg|2|1|181293.4000|181294.0000|0.6000||2|3|0|7/11/2557 14:00:41|1|7/11/2557 15:22:58|1
21||7/11/2557|7/11/2557|6/11/2557|||D:\6211\20141107\|report.pdf|3|1||354193.4000||||3||7/11/2557 14:00:41|1|7/11/2557 15:22:51|1
22|081120141|8/11/2557|8/11/2557|8/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 3 07/11/2557 23:56:36 - 08/11/2557 13:53:32|8/11/2557 13:53:32|D:\6211\20141108\|Payin1.jpg|1|1|200334.7000|200335.0000|0.3000||2|3|0|8/11/2557 14:12:19|1|8/11/2557 15:24:35|1
23|071120142|8/11/2557|8/11/2557|7/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 07/11/2557 13:51:13 - 07/11/2557 23:56:02,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141108\|Payin2.jpg|2|1|186781.4000|186782.0000|0.6000||2|3|0|8/11/2557 14:12:19|1|8/11/2557 15:24:38|1
24||8/11/2557|8/11/2557|7/11/2557|||D:\6211\20141108\|report.pdf|3|1||359660.4000||||3||8/11/2557 14:12:19|1|8/11/2557 15:24:31|1
25|091120141|9/11/2557|9/11/2557|9/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 09/11/2557 00:01:04 - 09/11/2557 13:57:31|9/11/2557 13:57:31|D:\6211\20141109\|Payin1.jpg|1|1|147120.2000|147121.0000|0.8000||2|3|0|9/11/2557 14:07:00|2|9/11/2557 15:26:06|1
26|081120142|9/11/2557|9/11/2557|8/11/2557|POS เครื่องที่ 1 จากกะที่ 4 - 5 08/11/2557 13:53:49 - 08/11/2557 23:56:38,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141109\|Payin2.jpg|2|1|182105.2000|182106.0000|0.8000||2|3|0|9/11/2557 14:07:00|2|9/11/2557 15:26:10|1
27||9/11/2557|9/11/2557|8/11/2557|||D:\6211\20141109\|report.pdf|3|1||382440.2000||||3||9/11/2557 14:07:00|2|9/11/2557 15:25:59|1
28|101120141|10/11/2557|10/11/2557|10/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 10/11/2557 00:01:35 - 10/11/2557 13:50:55|10/11/2557 13:50:55|D:\6211\20141110\|Payin1.jpg|1|1|164616.5000|164617.0000|0.5000||2|3|0|10/11/2557 13:56:01|2|10/11/2557 16:16:22|1
29|091120142|10/11/2557|10/11/2557|9/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 09/11/2557 13:57:51 - 09/11/2557 23:56:09,$$&&$$&&(ตราสารปิดวัน - ยอดจาก POS)||D:\6211\20141110\|Payin2.jpg|2|1|156919.6000|156920.0000|0.4000||2|3|0|10/11/2557 13:56:01|2|10/11/2557 16:16:34|1
30||10/11/2557|10/11/2557|9/11/2557|||D:\6211\20141110\|report.pdf|3|1||304040.6000||||3||10/11/2557 13:56:01|2|10/11/2557 16:15:44|1
31|111120141|11/11/2557|11/11/2557|11/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 3 11/11/2557 00:01:13 - 11/11/2557 13:54:49|11/11/2557 13:54:49|D:\6211\20141111\|Payin1.jpg|1|1|161149.3000|161150.0000|0.7000||1|3|0|11/11/2557 14:06:55|10|11/11/2557 17:10:55|1
32|101120142|11/11/2557|11/11/2557|10/11/2557|POS เครื่องที่ 1 จากกะที่ 3 - 4 10/11/2557 13:51:24 - 10/11/2557 23:56:01,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20141111\|Payin2.jpg|2|1|163630.8000|163631.0000|0.2000||1|3|0|11/11/2557 14:06:55|10|11/11/2557 17:10:58|1
33||11/11/2557|11/11/2557|10/11/2557|||D:\6211\20141111\|report.pdf|3|1||328247.8000||||3||11/11/2557 14:06:55|10|11/11/2557 17:10:52|1
34|121120141|12/11/2557|12/11/2557|12/11/2557|POS เครื่องที่ 1 จากกะที่ 1 - 2 12/11/2557 00:01:05 - 12/11/2557 13:51:00|12/11/2557 13:51:00|D:\6211\20141112\|Payin1.jpg|1|1|144261.6000|144262.0000|0.4000||1|3|0|12/11/2557 13:56:34|1|12/11/2557 15:47:08|1
35|111120142|12/11/2557|12/11/2557|11/11/2557|POS เครื่องที่ 1 จากกะที่ 4 - 5 11/11/2557 13:55:02 - 11/11/2557 23:55:48,$$&&$$&&(ตราสารปิดวัน - ยอดจาก SAP)||D:\6211\20141112\|Payin2.jpg|2|1|162924.7000|162925.0000|0.3000||1|3|0|12/11/2557 13:56:34|1|12/11/2557 15:47:12|1
36||12/11/2557|12/11/2557|11/11/2557|||D:\6211\20141112\|report.pdf|3|1||324074.7000||||3||12/11/2557 13:56:34|1|12/11/2557 15:47:05|1
