HOSE_ID|PERIOD_ID|OPEN_METER_VALUE|CLOSE_METER_VALUE|OPEN_METER_VOLUME|CLOSE_METER_VOLUME|POSTPAY_QUANTITY|POSTPAY_VALUE|POSTPAY_VOLUME|POSTPAY_COST|PREPAY_QUANTITY|PREPAY_VALUE|PREPAY_VOLUME|PREPAY_COST|PREPAY_REFUND_QTY|PREPAY_REFUND_VAL|PREPAY_RFD_LST_QTY|PREPAY_RFD_LST_VAL|PREAUTH_QUANTITY|PREAUTH_VALUE|PREAUTH_VOLUME|PREAUTH_COST|MONITOR_QUANTITY|MONITOR_VALUE|MONITOR_VOLUME|MONITOR_COST|DRIVEOFFS_QUANTITY|DRIVEOFFS_VALUE|DRIVEOFFS_VOLUME|DRIVEOFFS_COST|TEST_DEL_QUANTITY|TEST_DEL_VOLUME|OFFLINE_QUANTITY|OFFLINE_VOLUME|OFFLINE_VALUE|OFFLINE_COST|OPEN_MECH_VOLUME|CLOSE_MECH_VOLUME|OPEN_VOLUME_TURNOVER_CORRECTION|OPEN_MONEY_TURNOVER_CORRECTION|CLOSE_VOLUME_TURNOVER_CORRECTION|CLOSE_MONEY_TURNOVER_CORRECTION|OPEN_VOLUME_TURNOVER_CORRECTION2|CLOSE_VOLUME_TURNOVER_CORRECTION2
12|5565|9727082.2000|0.0000|218782.9200|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|21758564.5500|0.0000|0.0000|0.0000|0.0000
12|5566|9727082.2000|9727282.2000|218782.9200|218790.7500|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|21758564.5500|0.0000|21758564.5500|0.0000|0.0000
12|5567|9727282.2000|0.0000|218790.7500|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|21758564.5500|0.0000|0.0000|0.0000|0.0000
13|5565|8556158.0000|0.0000|149820.8600|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-3967966.8900|0.0000|0.0000|0.0000|0.0000
13|5566|8556158.0000|8556158.0000|149820.8600|149820.8600|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-3967966.8900|0.0000|-3967966.8900|0.0000|0.0000
13|5567|8556158.0000|0.0000|149820.8600|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-3967966.8900|0.0000|0.0000|0.0000|0.0000
14|5565|7987872.7000|0.0000|946682.4400|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1.8400|16307038.5500|0.0000|0.0000|0.0000|0.0000
14|5566|7987872.7000|7990232.7000|946682.4400|946776.8800|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1.8400|16307038.5500|1.8400|16307038.5500|0.0000|0.0000
14|5567|7990232.7000|0.0000|946776.8800|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|1.8400|16307038.5500|0.0000|0.0000|0.0000|0.0000
15|5565|1696488.2000|0.0000|345699.8700|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0.0000|0.0000|0|0.0000|0|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|-2779517.1600|0.0000|0.0000|0.0000|0.0000
