MAT_ID|BASE_QTY|BASE_UOM|COMPONENT|QTY|UOM|BLOCK|DAY_ID|SHIFT_NO|ALT|BOM_USG|CREATEDATE|MODDATE|MODBY
500398|1.00000|PAK|500399|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501132|1.00000|PAK|500399|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500400|1.00000|PAK|500401|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500402|1.00000|PAK|500403|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500407|1.00000|PAK|500408|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501133|1.00000|PAK|500408|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500409|1.00000|PAK|500410|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500411|1.00000|PAK|500412|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500415|1.00000|PAK|500416|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500417|1.00000|PAK|500418|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500421|1.00000|PAK|500422|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501136|1.00000|PAK|500422|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500423|1.00000|PAK|500424|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500425|1.00000|PAK|500426|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500429|1.00000|PAK|500430|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501134|1.00000|PAK|500430|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500431|1.00000|PAK|500432|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500433|1.00000|PAK|500434|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500462|1.00000|PAK|500463|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500500|1.00000|PAK|500501|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500510|1.00000|PAK|500511|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500519|1.00000|PAK|500520|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500524|1.00000|PAK|500525|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500548|1.00000|PAK|500549|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500550|1.00000|PAK|500551|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500555|1.00000|PAK|500556|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500557|1.00000|PAK|500558|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500562|1.00000|PAK|500563|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500567|1.00000|PAK|500568|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500572|1.00000|PAK|500573|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500577|1.00000|PAK|500578|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500580|1.00000|DR|500579|200.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500581|1.00000|PAK|500582|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500583|1.00000|PAK|500584|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500598|1.00000|DR|500597|205.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500599|1.00000|DR|500597|200.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500600|1.00000|PAK|500601|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
504436|1.00000|PAK|500601|12.00000|BOT||0|0|||15/6/2555 19:30:03|15/6/2555 19:30:03|
504471|1.00000|PAK|500601|12.00000|BOT||0|0|||15/6/2555 19:30:03|15/6/2555 19:30:03|
500602|1.00000|PAK|500603|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504470|1.00000|PAK|500603|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500681|1.00000|PAK|500682|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503005|1.00000|PAK|500682|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500683|1.00000|PAK|500684|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500691|1.00000|PAK|500692|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502935|1.00000|PAK|500692|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500693|1.00000|PAK|500694|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500701|1.00000|PAK|500702|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500703|1.00000|PAK|500704|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500708|1.00000|PAK|500709|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503006|1.00000|PAK|500709|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500710|1.00000|PAK|500711|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502975|1.00000|PAK|500711|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500715|1.00000|PAK|500716|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502972|1.00000|PAK|500716|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500717|1.00000|PAK|500718|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502974|1.00000|PAK|500718|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500725|1.00000|PAK|500726|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503008|1.00000|PAK|500726|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500727|1.00000|PAK|500728|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500733|1.00000|PAK|500734|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503009|1.00000|PAK|500734|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500735|1.00000|PAK|500736|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502976|1.00000|PAK|500736|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500742|1.00000|PAK|500743|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503010|1.00000|PAK|500743|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500744|1.00000|PAK|500745|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500749|1.00000|PAK|500750|48.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503090|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503111|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503151|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504191|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
504220|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
504301|1.00000|PAK|500750|1.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
504440|1.00000|PAK|500750|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500751|1.00000|PAK|500752|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500756|1.00000|PAK|500757|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500759|1.00000|PAK|500760|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500843|1.00000|PAK|500844|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500851|1.00000|DR|500850|200.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500852|1.00000|PAK|500853|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500854|1.00000|PAK|500855|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500856|1.00000|PAK|500857|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500871|1.00000|PAK|500872|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500885|1.00000|PAK|500886|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500891|1.00000|PAK|500892|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500894|1.00000|PAK|500893|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500902|1.00000|PAK|500903|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500904|1.00000|PAK|500905|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500906|1.00000|PAK|500907|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500908|1.00000|PAK|500909|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500910|1.00000|PAK|500911|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500912|1.00000|PAK|500913|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
500914|1.00000|PAK|500915|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500916|1.00000|PAK|500917|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500918|1.00000|PAK|500919|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500920|1.00000|PAK|500921|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500922|1.00000|PAK|500923|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
500926|1.00000|PAK|500927|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
500940|1.00000|DR|500939|200.00000|DR||0|0|||15/6/2555 19:30:03|15/6/2555 19:30:03|
500941|1.00000|DR|500940|200.00000|DR||0|0|||15/6/2555 19:30:03|15/6/2555 19:30:03|
501017|1.00000|PAK|501018|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501019|1.00000|PAK|501020|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501021|1.00000|PAK|501022|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501070|1.00000|PAK|501067|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501127|1.00000|PAK|501125|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501128|1.00000|PAK|501126|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502733|1.00000|DR|501173|200.00000|L86||0|0|||15/6/2555 19:30:03|15/6/2555 19:30:03|
501181|1.00000|PAK|501180|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501183|1.00000|PAK|501182|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501195|1.00000|PAK|501194|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501224|1.00000|PAK|501223|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501226|1.00000|PAK|501225|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501229|1.00000|PAK|501227|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501243|1.00000|PAK|501242|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502857|1.00000|PAK|501242|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502899|1.00000|PAK|501242|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501246|1.00000|PAK|501245|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501248|1.00000|PAK|501247|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501251|1.00000|PAK|501249|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501256|1.00000|PAK|501253|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501291|1.00000|PAK|501292|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501303|1.00000|PAK|501300|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501306|1.00000|PAK|501304|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501308|1.00000|PAK|501307|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501310|1.00000|PAK|501309|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501314|1.00000|PAK|501312|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501349|1.00000|PAK|501334|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501372|1.00000|PAK|501371|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502729|1.00000|BOT|501377|4.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501970|1.00000|PAK|501417|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501430|1.00000|PAK|501431|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501432|1.00000|PAK|501433|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501730|1.00000|PAK|501433|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501428|1.00000|PAK|501434|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501436|1.00000|PAK|501435|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501407|1.00000|PAK|501437|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501734|1.00000|PAK|501437|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501457|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502571|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
502663|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502760|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502979|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503123|1.00000|PAK|501454|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501452|1.00000|PAK|501455|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501729|1.00000|PAK|501455|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501449|1.00000|PAK|501477|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502726|1.00000|BOT|501483|4.00000|L30||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501488|1.00000|PAK|501487|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504353|1.00000|PAK|501487|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501491|1.00000|PAK|501490|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501727|1.00000|PAK|501490|20.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503511|1.00000|PAK|501490|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501493|1.00000|PAK|501492|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
502940|1.00000|PAK|501492|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503073|1.00000|PAK|501492|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503148|1.00000|PAK|501492|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504348|1.00000|PAK|501492|6.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501495|1.00000|PAK|501494|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501732|1.00000|PAK|501494|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501496|1.00000|PAK|501497|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501501|1.00000|PAK|501502|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504351|1.00000|PAK|501502|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501503|1.00000|PAK|501504|20.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503512|1.00000|PAK|501504|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503551|1.00000|PAK|501504|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501506|1.00000|PAK|501507|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504355|1.00000|PAK|501507|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501509|1.00000|PAK|501510|20.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503486|1.00000|PAK|501510|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501511|1.00000|PAK|501512|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501513|1.00000|PAK|501514|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501709|1.00000|PAK|501514|20.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
503513|1.00000|PAK|501514|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501515|1.00000|PAK|501516|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
504358|1.00000|PAK|501516|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
501517|1.00000|PAK|501518|24.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501725|1.00000|PAK|501518|20.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503514|1.00000|PAK|501518|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
501519|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
502073|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
502377|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
502951|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503077|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:03|
503090|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
503761|1.00000|PAK|501520|4.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501521|1.00000|PAK|501523|12.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:02|
501728|1.00000|PAK|501523|10.00000|BOT||0|0|||15/6/2555 19:30:01|15/6/2555 19:30:01|
